[146, 153]
[285, 299]
[276, 296]
[275, 298]
[277, 306]
[281, 314]
[291, 314]
[301, 317]
[311, 326]
[313, 333]
[324, 338]
[338, 345]
[344, 343]
[353, 346]
[348, 350]
[348, 360]
[357, 372]
[358, 374]
[366, 383]
[371, 392]
[388, 411]
[405, 420]
[413, 426]
[423, 438]
[437, 449]
[445, 453]
[456, 465]
[460, 460]
[460, 462]
[477, 465]
[481, 465]
[494, 473]
[498, 476]
[512, 480]
[523, 492]
[525, 507]
[534, 511]
[548, 519]
[559, 530]
[572, 538]
[583, 542]
[587, 549]
[591, 550]
[594, 552]
[606, 557]
[618, 557]
[624, 561]
[633, 571]
[635, 582]
[653, 599]
